api,http-method,description,functionName,functionParameters
/teams/{teamId}/members/{username},PUT,"


The API (described below) is deprecated and is scheduled for removal in the next major version of the API. We recommend using the Add team membership API instead. It allows you to invite new organization members to your teams.  Add team member. In order to add a user to a team, the authenticated user must have &#39;admin&#39; permissions to the team or be an owner of the org that the team is associated with. 

",teamsTeamIdMembersUsernamePut,teamId username opts
/teams/{teamId}/memberships/{username},DELETE,"


Remove team membership. In order to remove a membership between a user and a team, the authenticated user must have &#39;admin&#39; permissions to the team or be an owner of the organization that the team is associated with. NOTE: This does not delete the user, it just removes their membership from the team. 

",teamsTeamIdMembershipsUsernameDelete,teamId username opts
/teams/{teamId}/memberships/{username},GET,"


Get team membership. In order to get a user&#39;s membership with a team, the authenticated user must be a member of the team or an owner of the team&#39;s organization. 

",teamsTeamIdMembershipsUsernameGet,teamId username opts
/teams/{teamId}/memberships/{username},PUT,"


Add team membership. In order to add a membership between a user and a team, the authenticated user must have &#39;admin&#39; permissions to the team or be an owner of the organization that the team is associated with.  If the user is already a part of the team&#39;s organization (meaning they&#39;re on at least one other team in the organization), this endpoint will add the user to the team.  If the user is completely unaffiliated with the team&#39;s organization (meaning they&#39;re on none of the organization&#39;s teams), this endpoint will send an invitation to the user via email. This newly-created membership will be in the &#39;pending&#39; state until the user accepts the invitation, at which point the membership will transition to the &#39;active&#39; state and the user will be added as a member of the team. 

",teamsTeamIdMembershipsUsernamePut,teamId username opts
/teams/{teamId},PATCH,"


Edit team. In order to edit a team, the authenticated user must be an owner of the org that the team is associated with. 

",teamsTeamIdPatch,teamId body opts
/teams/{teamId}/repos,GET,"


List team repos

",teamsTeamIdReposGet,teamId opts
/teams/{teamId}/repos/{owner}/{repo},DELETE,"


In order to remove a repository from a team, the authenticated user must be an owner of the org that the team is associated with. NOTE: This does not delete the repository, it just removes it from the team.

",teamsTeamIdReposOwnerRepoDelete,teamId owner repo opts
/teams/{teamId}/repos/{owner}/{repo},GET,"


Check if a team manages a repository

",teamsTeamIdReposOwnerRepoGet,teamId owner repo opts
/teams/{teamId}/repos/{owner}/{repo},PUT,"


In order to add a repository to a team, the authenticated user must be an owner of the org that the team is associated with. Also, the repository must be owned by the organization, or a direct fork of a repository owned by the organization.

",teamsTeamIdReposOwnerRepoPut,teamId owner repo opts
/user/emails,DELETE,"


Delete email address(es). You can include a single email address or an array of addresses. 

",userEmailsDelete,body opts
/user/emails,GET,"


List email addresses for a user. In the final version of the API, this method will return an array of hashes with extended information for each email address indicating if the address has been verified and if it&#39;s primary email address for GitHub. Until API v3 is finalized, use the application/vnd.github.v3 media type to get other response format. 

",userEmailsGet,opts
/user/emails,POST,"


Add email address(es). You can post a single email address or an array of addresses. 

",userEmailsPost,body opts
/user/followers,GET,"


List the authenticated user&#39;s followers

",userFollowersGet,opts
/user/following,GET,"


List who the authenticated user is following.

",userFollowingGet,opts
/user/following/{username},DELETE,"


Unfollow a user. Unfollowing a user requires the user to be logged in and authenticated with basic auth or OAuth with the user:follow scope. 

",userFollowingUsernameDelete,username opts
/user/following/{username},GET,"


Check if you are following a user.

",userFollowingUsernameGet,username opts
/user/following/{username},PUT,"


Follow a user. Following a user requires the user to be logged in and authenticated with basic auth or OAuth with the user:follow scope. 

",userFollowingUsernamePut,username opts
/user,GET,"


Get the authenticated user.

",userGet,opts
/user/issues,GET,"


List issues. List all issues across owned and member repositories for the authenticated user. 

",userIssuesGet,filter state labels sort direction opts
/user/keys,GET,"


List your public keys. Lists the current user&#39;s keys. Management of public keys via the API requires that you are authenticated through basic auth, or OAuth with the &#39;user&#39;, &#39;write:public_key&#39; scopes. 

",userKeysGet,opts
/user/keys/{keyId},DELETE,"


Delete a public key. Removes a public key. Requires that you are authenticated via Basic Auth or via OAuth with at least admin:public_key scope.

",userKeysKeyIdDelete,keyId opts
/user/keys/{keyId},GET,"


Get a single public key.

",userKeysKeyIdGet,keyId opts
/user/keys,POST,"


Create a public key.

",userKeysPost,body opts
/user/orgs,GET,"


List public and private organizations for the authenticated user.

",userOrgsGet,opts
/user,PATCH,"


Update the authenticated user.

",userPatch,body opts
/user/repos,GET,"


List repositories for the authenticated user. Note that this does not include repositories owned by organizations which the user can access. You can lis user organizations and list organization repositories separately. 

",userReposGet,opts
/user/repos,POST,"


Create a new repository for the authenticated user. OAuth users must supply repo scope. 

",userReposPost,body opts
/user/starred,GET,"


List repositories being starred by the authenticated user.

",userStarredGet,opts
/user/starred/{owner}/{repo},DELETE,"


Unstar a repository

",userStarredOwnerRepoDelete,owner repo opts
/user/starred/{owner}/{repo},GET,"


Check if you are starring a repository.

",userStarredOwnerRepoGet,owner repo opts
/user/starred/{owner}/{repo},PUT,"


Star a repository.

",userStarredOwnerRepoPut,owner repo opts
/user/subscriptions,GET,"


List repositories being watched by the authenticated user.

",userSubscriptionsGet,opts
/user/subscriptions/{owner}/{repo},DELETE,"


Stop watching a repository

",userSubscriptionsOwnerRepoDelete,owner repo opts
/user/subscriptions/{owner}/{repo},GET,"


Check if you are watching a repository.

",userSubscriptionsOwnerRepoGet,owner repo opts
/user/subscriptions/{owner}/{repo},PUT,"


Watch a repository.

",userSubscriptionsOwnerRepoPut,owner repo opts
/user/teams,GET,"


List all of the teams across all of the organizations to which the authenticated user belongs. This method requires user or repo scope when authenticating via OAuth.

",userTeamsGet,opts
/users,GET,"


Get all users. This provides a dump of every user, in the order that they signed up for GitHub. Note: Pagination is powered exclusively by the since parameter. Use the Link header to get the URL for the next page of users. 

",usersGet,opts
/users/{username}/events,GET,"


If you are authenticated as the given user, you will see your private events. Otherwise, you&#39;ll only see public events.

",usersUsernameEventsGet,username opts
/users/{username}/events/orgs/{org},GET,"


This is the user&#39;s organization dashboard. You must be authenticated as the user to view this.

",usersUsernameEventsOrgsOrgGet,username org opts
/users/{username}/followers,GET,"


List a user&#39;s followers

",usersUsernameFollowersGet,username opts
/users/{username}/following/{targetUser},GET,"


Check if one user follows another.

",usersUsernameFollowingTargetUserGet,username targetUser opts
/users/{username},GET,"


Get a single user.

",usersUsernameGet,username opts
/users/{username}/gists,GET,"


List a users gists.

",usersUsernameGistsGet,username opts
/users/{username}/keys,GET,"


List public keys for a user. Lists the verified public keys for a user. This is accessible by anyone. 

",usersUsernameKeysGet,username opts
/users/{username}/orgs,GET,"


List all public organizations for a user.

",usersUsernameOrgsGet,username opts
/users/{username}/received_events,GET,"


These are events that you&#39;ll only see public events.

",usersUsernameReceivedEventsGet,username opts
/users/{username}/received_events/public,GET,"


List public events that a user has received

",usersUsernameReceivedEventsPublicGet,username opts
/users/{username}/repos,GET,"


List public repositories for the specified user.

",usersUsernameReposGet,username opts
/users/{username}/starred,GET,"


List repositories being starred by a user.

",usersUsernameStarredGet,username opts
/users/{username}/subscriptions,GET,"


List repositories being watched by a user.

",usersUsernameSubscriptionsGet,username opts
